sentence_id,sentence
342,Brief and small but very vivid he caught a glimpse of Bilbo walking restlessly about his room.
343,The table was littered with disordered papers; rain was beating on the windows.
344,"Then there was a pause, and after it many swift scenes followed that Frodo in some way knew to be parts of a great history in which he had become involved."
345,The mist cleared and he saw a sight which he had never seen before but knew at once: the Sea.
346,Darkness fell.
347,The sea rose and raged in a great storm.
348,"Then he saw against the Sun, sinking blood-red into a wrack of clouds, the black outline of a tall ship with torn sails riding up out of the West."
349,Then a wide river flowing through a populous city.
350,Then a white fortress with seven towers.
351,"And then again a ship with black sails, but now it was morning again, and the water rippled with light, and a banner bearing the emblem of a white tree shone in the sun."
352,"A smoke as of fire and battle arose, and again the sun went down in a burning red that faded into a grey mist; and into the mist a small ship passed away, twinkling with lights."
353,"It vanished, and Frodo sighed and prepared to draw away."
354,"But suddenly the Mirror went altogether dark, as dark as if a hole had opened in the world of sight, and Frodo looked into emptiness."
355,In the black abyss there appeared a single Eye that slowly grew.
356,until it filled nearly all the Mirror.
357,"So terrible was it that Frodo stood rooted, unable to cry out or to withdraw his gaze."
358,"The Eye was rimmed with fire, but was itself glazed, yellow as a cat's, watchful and intent, and the black slit of its pupil opened on a pit, a window into nothing."
359,"Then the Eye began to rove, searching this way and that; and Frodo knew with certainty and horror that among the many things that it sought he himself was one."
360,"But he also knew that it could not see him-not yet, not unless he willed it."
361,"The Ring that hung upon its chain about his neck grew heavy, heavier than a great stone, and his head was dragged downwards."
362,The Mirror seemed to be growing hot and curls of steam were rising from the water.
363,He was slipping forward.
364,`Do not touch the water!'
365,said the Lady Galadriel softly.
366,"The vision faded, and Frodo found that he was looking at the cool stars twinkling in the silver basin."
367,He stepped back shaking all over and looked at the Lady.
368,"`I know what it was that you last saw,' she said; `for that is also in my mind."
369,Do not be afraid!
370,"But do not think that only by singing amid the trees, nor even by the slender arrows of elven-bows, is this land of Lothlórien maintained and defended against its Enemy."
371,"I say to you, Frodo, that even as I speak to you, I perceive the Dark Lord and know his mind, or all of his mind that concerns the Elves."
372,And he gropes ever to see me and my thought.
373,But still the door is closed! '
374,"She lifted up her white arms, and spread out her hands towards the East in a gesture of rejection and denial."
375,"Eärendil, the Evening Star, most beloved of the Elves, shone clear above."
376,So bright was it that the figure of the Elven-lady cast a dim shadow on the ground.
377,"Its rays glanced upon a ring about her finger; it glittered like polished gold overlaid with silver light, and a white stone in it twinkled as if the Even-star had come down to rest upon her hand."
378,Frodo gazed at the ring with awe; for suddenly it seemed to him that he understood.
379,"`Yes,' she said, divining his thought, `it is not permitted to speak of it, and Elrond could not do so."
380,"But it cannot be hidden from the Ring-bearer, and one who has seen the Eye."
381,Verily it is in the land of Lórien upon the finger of Galadriel that one of the Three remains.
382,"This is Nenya, the Ring of Adamant, and I am its keeper."
383,"`He suspects, but he does not know  not yet."
384,Do you not see now wherefore your coming is to us as the footstep of Doom?
385,"For if you fail, then we are laid bare to the Enemy."
386,"Yet if you succeed, then our power is diminished, and Lothlórien will fade, and the tides of Time will sweep it away."
387,"We must depart into the West, or dwindle to a rustic folk of dell and cave, slowly to forget and to be forgotten.'"
388,Frodo bent his head.
389,`And what do you wish? '
390,he said at last.
391,"`That what should be shall be,' she answered."
392,"`The love of the Elves for their land and their works is deeper than the deeps of the Sea, and their regret is undying and cannot ever wholly be assuaged."
393,Yet they will cast all away rather than submit to Sauron: for they know him now.
394,For the fate of Lothlórien you are not answerable but only for the doing of your own task.
395,"Yet I could wish, were it of any avail, that the One Ring had never been wrought, or had remained for ever lost.'"
396,"'You are wise and fearless and fair, Lady Galadriel,' said Frodo."
397,"`I will give you the One Ring, if you ask for it."
398,It is too great a matter for me.'
399,Galadriel laughed with a sudden clear laugh.
400,"`Wise the Lady Galadriel may be,' she said, `yet here she has met her match in courtesy."
401,Gently are you revenged for my testing of your heart at our first meeting.
402,You begin to see with a keen eye.
403,I do not deny that my heart has greatly desired to ask what you offer.
404,"For many long years I had pondered what I might do, should the Great Ring come into my hands, and behold!"
405,it was brought within my grasp.
406,"The evil that was devised long ago works on in many ways, whether Sauron himself stands or falls."
407,"Would not that have been a noble deed to set to the credit of his Ring, if I had taken it by force or fear from my guest?"
408,`And now at last it comes.
409,You will give me the Ring freely!
410,In place of the Dark Lord you will set up a Queen.
411,"And I shall not be dark, but beautiful and terrible as the Morning and the Night!"
412,Fair as the Sea and the Sun and the Snow upon the Mountain!
413,Dreadful as the Storm and the Lightning!
414,Stronger than the foundations of the earth.
415,All shall love me and despair! '
416,She lifted up her hand and from the ring that she wore there issued a great light that illuminated her alone and left all else dark.
417,"She stood before Frodo seeming now tall beyond measurement, and beautiful beyond enduring, terrible and worshipful."
418,"Then she let her hand fall, and the light faded, and suddenly she laughed again, and lo!"
419,"she was shrunken: a slender elf-woman, clad in simple white, whose gentle voice was soft and sad."
420,"'I pass the test,' she said."
421,"`I will diminish, and go into the West and remain Galadriel.'"
422,They stood for a long while in silence.
423,At length the Lady spoke again.
424,`Let us return! '
425,she said.
426,"`In the morning you must depart for now we have chosen, and the tides of fate are flowing.'"
427,"`I would ask one thing before we go,' said Frodo, `a thing which I often meant to ask Gandalf in Rivendell."
428,I am permitted to wear the One Ring: why cannot I see all the others and know the thoughts of those that wear them? '
429,"`You have not tried,' she said."
430,`Only thrice have you set the Ring upon your finger since you knew what you possessed.
431,Do not try!
432,It would destroy you.
433,Did not Gandalf tell you that the rings give power according to the measure of each possessor?
434,"Before you could use that power you would need to become far stronger, and to train your will to the domination of others."
435,"Yet even so, as Ring-bearer and as one that has borne it on finger and seen that which is hidden, your sight is grown keener."
436,You have perceived my thought more clearly than many that are accounted wise.
437,You saw the Eye of him that holds the Seven and the Nine.
438,And did you not see and recognize the ring upon my finger?
439,Did you see my ring? '
440,she asked turning again to Sam.
441,"'No, Lady,' he answered."
442,"`To tell you the truth, I wondered what you were talking about."
443,I saw a star through your finger.
444,"But if you'll pardon my speaking out, I think my master was right."
445,I wish you'd take his Ring.
446,You'd put things to rights.
447,You'd stop them digging up the gaffer and turning him adrift.
448,You'd make some folk pay for their dirty work.'
449,"`I would,' she said."
450,`That is how it would begin.
451,"But it would not stop with that, alas!"
452,We will not speak more of it.
453,Let us go!'
454,_
